Topic,Questions,Category
Adoption/Foster Care,0,Family & Caregiving
Cancer,0,Physical Health
Men's Issues,0,Identity & Community
Perinatal Mood Disorder,0,Family & Caregiving
Racial & Cultural Identity,0,Identity & Community
Dissociative Disorders,1,Mental Health
Autism Spectrum,6,Neurodiversity
Recovery,8,Addiction & Recovery
Sexual Health,8,Physical Health
Borderline (BPD),24,Mental Health
Financial Stress,28,Life Challenges
Exercise Motivation,30,Lifestyle & Wellbeing
Weight Management,30,Lifestyle & Wellbeing
Spirituality,33,Identity & Community
Obsessive Compulsive Disorder,34,Mental Health
Chronic Pain,37,Physical Health
Women's Issues,42,Identity & Community
Bipolar Disorder,44,Mental Health
ADHD,52,Mental Health
Social Anxiety,55,Mental Health
Forgiveness,64,Personal Growth
Grief,65,Mental Health
Disabilities,77,Physical Health
PTSD,87,Mental Health
Loneliness,100,Mental Health
Parenting,113,Family & Caregiving
Getting Unstuck,114,Personal Growth
Domestic Violence,115,Social & Interpersonal
Self-Esteem,118,Mental Health
Student Life,122,Life Challenges
Alcohol/Drug Abuse,160,Addiction & Recovery
Panic Attacks,199,Mental Health
Work Stress,213,Life Challenges
Sleeping Well,224,Lifestyle & Wellbeing
Bullying,258,Social & Interpersonal
General Mental Health,258,Mental Health
Eating Disorders,261,Mental Health
Managing Emotions,445,Mental Health
Self-Harm,458,Mental Health
Relationship Stress,548,Relationships
LGBTQ+ Issues,602,Identity & Community
Family Stress,640,Relationships
Breakups,676,Relationships
Anxiety,829,Mental Health
Depression,844,Mental Health
